"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"100","Trevion Cooley ",,"RB33","80","80","80.0","0.0"
"101","Kedon Slovis ",,"QB24","81","81","81.0","0.0"
"102","Kendre Miller ",,"RB34","82","82","82.0","0.0"
"103","Kyle McCord ",,"QB25","83","83","83.0","0.0"
"104","Milton Wright ",,"WR39","84","84","84.0","0.0"
"105","Shazz Preston ",,"WR40","85","85","85.0","0.0"
"106","Chris Tyree ",,"RB35","86","86","86.0","0.0"
"107","Adam Randall ",,"WR41","87","87","87.0","0.0"
"108","George Pettaway ",,"RB36","88","88","88.0","0.0"
"109","Emmanuel Henderson ",,"RB37","89","89","89.0","0.0"
"110","Jalen Berger ",,"RB38","90","90","90.0","0.0"
"111","Byron Cardwell ",,"RB39","91","91","91.0","0.0"
"112","Evan Prater ",,"QB26","92","92","92.0","0.0"
"113","MarShawn Lloyd ",,"RB40","94","94","94.0","0.0"
"114","Max Johnson ",,"QB27","95","95","95.0","0.0"
"115","Walker Howard ",,"QB28","96","96","96.0","0.0"
"116","Gunner Stockton ",,"QB29","98","98","98.0","0.0"
"117","Kaytron Allen ",,"RB41","99","99","99.0","0.0"
"118","Will Mallory ",,"TE7","104","104","104.0","0.0"
"119","Dontay Demus ",,"WR42","105","105","105.0","0.0"
"120","Gavin Sawchuck ",,"RB42","106","106","106.0","0.0"
"121","Isaiah Bond ",,"WR43","107","107","107.0","0.0"
"122","Talyn Shettron ",,"WR44","108","108","108.0","0.0"
"123","Eric Gray ",,"RB43","110","110","110.0","0.0"
